Time delay (s),Process,Rust,Docker,Linux KVM,Linux
4,0.0049813,0.327255662,1.092840896,4.095020514,19.779042
2,0.004926642,0.321167796,1.10612641,4.089817413,20.72560712
1,0.005022798,0.323962295,1.319744428,4.086579877,21.90498716
0.5,0.005179738,0.322251378,1.348522064,4.082934218,82.42389946
0.25,0.005771803,0.313371717,46.07841509,4.079265877,
0.125,0.005332202,0.297667228,211.9181285,4.397147717,
0.0625,0.005144032,0.283729394,286.0044991,30.83027919,
0.03125,0.00508788,0.271376591,,,
0.015625,0.006032099,0.266016515,,,
0.0078125,0.007194837,0.290720841,,,
0.00390625,0.014481787,0.336760329,,,
0.001953125,0.007459089,0.335611952,,,
