Time delay (s)	Process	Rust	Docker	Linux KVM	Linux
4	0.001360442	0.328262009	1.092840896	4.083274646	19.45518215
2	0.001367233	0.323781983	1.10612641	4.092275825	20.79178914
1	0.00137437	0.325701297	1.319744428	4.104028982	22.1164633
0.5	0.001360188	0.323659059	1.348522064	4.090143346	118.9495627
0.25	0.001361707	0.316709634	46.07841509	4.084475927	
0.125	0.001363738	0.296197216	211.9181285	4.387246287	
0.0625	0.001342296	0.282976815	286.0044991	33.19844743	
0.03125	0.001326521	0.269505044			
0.015625	0.001274483	0.26674187			
0.0078125	0.001233038	0.29422825			
0.00390625	0.001221724	0.349568553			
0.001953125	0.001147941	0.367112673			
0.0009765625	0.001115762	0.342439499			
