Time delay (s),Process,Rust,Docker,Linux KVM,Linux
4,14.99879972,14.99888008,14.99875682,14.99886219,14.66541325
2,29.997804,29.99772448,29.99776255,29.99779909,29.99764012
1,59.9956306,59.99568909,59.66200292,59.6622577,59.6622921
0.5,119.9917535,119.6579998,118.9921121,119.3251957,13.99133732
0.25,237.6503258,237.983069,151.9909305,237.3175769,
0.125,471.6332134,471.6364829,101.3233427,473.2920058,
0.0625,926.599472,928.2749172,1.904624983,559.1159643,
0.03125,1781.207454,1804.90334,,,
0.015625,3274.413803,3390.143885,,,
0.0078125,5578.321135,5643.616246,,,
0.00390625,8526.795363,7297.146386,,,
0.001953125,10695.03435,7771.793558,,,
